propertyId	longitudeBefore	latitudeBefore	addressBefore	addressBeforeCharLength	addressBeforeContainsJalan	additionalRegionBefore	additionalRegionBeforeCharLength	isVenueGrouped	userPropertyCount	userWrongProperty	userReviewedProperty	userCheckedProperty	longitudeAfter	latitudeAfter	addressAfter	addressAfterCharLength	addressAfterContainsJalan	additionalRegionAfter	additionalRegionAfterCharLength
626410872	110.3176365	-7.7969995	Jalan Gamping	13	no	Gamping	7	no	312	167	215	1	110.33808959383	-7.7777272959266	Nogotirto	9	no	Gamping	7
870553789	112.6675398	-7.4726134	Jl.Tulangan	11	yes	Tulangan Sidoarjo	17	yes	309	179	232	1	112.6523151196	-7.4785381090142	Jl. Raya Tulangan	17	yes	Tulangan 	9
797547142	98.6722227	3.5951956	JALAN KARYA INDAH	17	no	Tanjung Sari	12	no	124	194	249	3	98.627301815837	3.5459146838047	Jl. Karya Indah	15	yes	Tanjung Sari	12
552660943	110.402376	-7.7325213	Jalan Ring Road Maguwo	22	no	Maguwoharjo	11	no	340	119	189	0	110.43027107725	-7.769773237756	Jl. Ring Road	13	yes	Maguwoharjo	11
401151529	106.94970167459	-6.2738187512915	Jl. Dr. Ratna	13	yes	Jatiasih	8	yes	955	432	570	66	106.94970167459	-6.2738187512915	Jl. Dr. Ratna	13	yes	Jatiasih	8
292492574	112.4214773	-7.3316646	Dawarblandong	13	no	Dawar Blandong	14	no	144	79	126	1	112.42627964048	-7.3174476291456	Jl. Raya Dawarblandong	22	yes	Dawar Blandong	14
108864324	112.7520883	-7.2574719	Ketintang	9	no	Gayungan	8	no	374	293	428	86	112.72829007718	-7.3141369376568	Ketintang	9	no	Gayungan	8
200746224	110.137239	-7.881747	Conegaran, Triharjo, Wates, Kulon ProgoConegaran, Triharjo, Wates, Kulon Progo	78	no	Conegaran, Triharjo, Wates, Kulon Progo	39	no	196	586	695	3	110.137239	-7.881747	Conegaran	9	no	Triharjo, Wates	15
611428894	106.99540753567	-6.1762074866337	Jl. Taman Harapan Baru	22	yes	Harapan Indah	13	yes	446	180	282	72	106.99540753567	-6.1762074866337	Jl. Taman Harapan Baru	22	yes	Harapan Indah	13
201564653	106.7343357	-6.1781151	JL.KEMBANGAN UTARA	18	no	Kembangan	9	yes	686	424	634	152	106.7343357	-6.1781151	Jl. Kembangan Utara	19	yes	Kembangan	9
244032882	106.9791041	-6.1920069	jl.harapan indah	16	yes	Harapan Indah	13	yes	3176	2753	2997	43	106.9830398699	-6.1889085440243	Jl. Bulevar Hijau Raya	22	yes	Harapan Indah	13
835245951	106.8060388	-6.5971469	Lokasi : Desa Cimanggis Bojong Gede Kab.Bogor,Jawa Barat -Indonesia	67	no	Tajur Halang	12	yes	53	23	28	1	106.78007155309	-6.4664054368468	Jl. Raya Nanggerang	19	yes	Tajur Halang	12
655650587	112.7301098	-7.3154135	Ketintang	9	no	Gayungan	8	yes	144	79	126	1	112.72829007718	-7.3141369376568	Jl. Ketintang	13	yes	Gayungan	8
251796592	110.4315489	-7.7048474	Jl. Besi Jangkang	17	yes	Ngaglik	7	no	99	33	69	2	110.4315489	-7.7048474	Jl. Besi Jangkang	17	yes	Sukoharjo, Ngaglik	18
299549948	112.6938198	-7.4117388	Dsn Kedung, Jumput Rejo	23	no	Sukodono, Sidoarjo	18	yes	1	2	3	0	112.69103530794	-7.4134569516747	Kedung	6	no	Jumput Rejo	11
835016081	106.8229441	-6.5751816	JL.Pangeran Asogiri	19	no	Tanah Baru	10	no	1	0	1	0	106.82254713307	-6.5761515013234	Jl. Pangeran Sogiri	19	yes	Tanah Baru	10
612480673	106.62525894339	-6.2652767987003	Jl. Telaga Serpong Raya	23	yes	Gading Serpong	14	yes	262	107	145	21	106.62525894339	-6.2652767987003	Jl. Telaga Serpong Raya	23	yes	Gading Serpong	14
554155338	110.3348744	-7.8773015	Jalan Bantul	12	no	Banguntapan	11	no	658	405	499	12	110.35694734498	-7.8201773216074	Jl. Bantul	10	yes	Wirokerten, Banguntapan	23
720988690	112.64672860574	-7.2995691472231	Jl. Telaga Utama Road	21	yes	Citraland	9	yes	203	32	120	78	112.64672860574	-7.2995691472231	Jl. Telaga Utama Road	21	yes	Citraland	9
278919777	109.3545221	-0.0774804	Komplek Cendana Agung, Blok A6, Sungai Raya Dalam - Pontianak.	62	no	Komplek Cendana Agung, Blok A6, Sungai Raya Dalam - Pontianak.	62	yes	4899	2269	2414	2	109.35496198228	-0.077716434176817	Jl. Komplek Cendana Agung	25	yes	Sungai Raya Dalam	17
624759620	106.94431611651	-6.3154466755885	Jl. Wibawa Mukti II	19	yes	Jatiasih	8	yes	955	432	570	66	106.94431611651	-6.3154466755885	Jl. Wibawa Mukti II	19	yes	Jatiasih	8
449036857	95.3237559	5.5482904	Jl. Prof. Ali Hasyimi no 2, simpang BPKP lamteh ulee kareng ( deretan hotel KUMALA)	83	yes	Lamteh	6	no	1	0	1	0	95.346022330164	5.5492860725359	Jl. Prof. Ali Hasyimi	21	yes	Lamteh	6
180967257	107.6989724433	-6.8996077948542	Jalan Pasirjati Ujungberung	27	no	Bandung Timur	13	yes	462	110	145	0	107.69755882081	-6.9079028956032	Jalan Pasirjati	15	no	Ujungberung	11
138686519	107.6792469	-6.8985527	Pasirimpun	10	no	bandung Timur	13	no	985	416	502	3	107.67703322343	-6.9019887912772	Jl. Pasir Impun	15	yes	Cicaheum	8
327965098	106.810544	-6.2277765	Jl. Jendral Sudirman	20	yes	Setia Budi	10	no	102	15	66	29	106.82296799216	-6.2052611056905	Jl. Jendral Sudirman	20	yes	Setia Budi	10
579072169	107.6325491	-6.9257708	GATOT SUBROTO	13	no	Lengkong	8	no	79	29	59	7	107.631193892	-6.9260820466179	Jl. Gatot Subroto	17	yes	Lengkong	8
899158521	110.3728573	-7.7358808	Jalan Palagan	13	no	Donoharjo	9	no	658	405	499	12	110.38886173862	-7.6947638621721	Jl. Palagan	11	yes	Gondang Lutung, Ngaglik	23
170681333	107.1089475	-6.4859182	Cariu Jonggol	13	no	Tegal Panjang, Cariu	20	no	1	0	1	0	107.11881802917	-6.4983691220101	Jl.Transyogi Jonggol Cariu	26	yes	Tegal Panjang, Cariu	20
722773712	106.9054618	-6.1604549	Kelapa Gading	13	no	Pegangsaan Dua	14	no	703	544	627	42	106.90537596931	-6.1754096547915	Kelapa Gading	13	no	Pegangsaan Dua	14
443369783	106.752872	-6.268557	Jl. Bumi BIntaro Permai	23	yes	Pesanggrahan	12	yes	7	2	6	1	106.75447147512	-6.2656952312884	Jl. Bintaro Puspita	19	yes	Pesanggrahan	12
926938162	107.6191228	-6.9174639	setrasari	9	no	Sukasari	8	no	417	261	378	57	107.58470989338	-6.8764304951583	Jl. Setrasari	13	yes	Sukasari	8
681399268	106.78580246866	-6.2848923551801	duta sekolah	12	no	Pondok Indah	12	no	31	25	45	5	106.78362694761	-6.2811071579151	Jl. Duta Sekolah	16	yes	Pondok Indah	12
657856827	109.394416938098	-0.033883588965328	Tanah murah tepi jalan traskalimantan km 10  Pontianak Kab., Kalimantan Barat	77	yes	Tanah murah tepi jalan traskalimantan km 10  Pontianak Kab., Kalimantan Barat	77	no	4899	2269	2414	2	109.3944169381	-0.033883588965328	Jl. Trans Kalimantan	20	yes	Sungai Ambawang	15
142592535	95.3237559	5.5482904	Aspal	5	no	lamdingin	9	yes	338	118	157	6	95.327682223279	5.5754369175109	Lamdingin	9	no	Kuta Alam	9
448758421	106.94419177546	-6.2847330430392	Jl. Jati Kramat	15	yes	Jatiasih	8	yes	259	58	124	36	106.94419177546	-6.2847330430392	Jl. Jati Kramat	15	yes	Jatiasih	8
729917000	106.98414310813	-6.4094026861966	jln. transyogi raya KM 15 cileungsi - jonggol	45	yes	Cileungsi	9	yes	2	3	4	0	106.98388733964	-6.4057766053498	Jl. Harvest City Boulevard	26	yes	Cileungsi	9
144012574	112.70326463297	-7.4521182008933	Jl. Raya Taman Pinang Indah	27	yes	Banjarbendo	11	yes	420	46	296	188	112.70326463297	-7.4521182008933	Jl. Raya Taman Pinang Indah	27	yes	Banjarbendo	11
819624673	106.7548737	-6.4063104	Jl. Pengasinan	14	yes	Pengasinan	10	no	201	124	163	4	106.74835341908	-6.4264332849116	Duren Seribu	12	no	Pengasinan	10
981255343	107.6191228	-6.9174639	ujung berung	12	no	Bandung Timur	13	no	1236	789	830	0	107.69153666984	-6.9081539664714	Jl. Cijambe	11	yes	Ujung Berung	12
458294116	106.94964958858	-6.2047588486617	Jl. Sentra Primer Timur	23	yes	Cakung	6	yes	2194	1215	1568	81	106.94964958858	-6.2047588486617	Jl. Sentra Primer Timur	23	yes	Cakung	6
364816275	112.7826235	-7.271119	dharmahusada indah	18	no	Mulyorejo	9	no	250	146	204	37	112.77981001946	-7.2737642982969	Jl. Dharmahusada Indah Timur	28	yes	Mulyorejo	9
448558370	112.1713416	-7.1011236	Jalan raya babatan lamongan	27	no	Babat	5	no	4	3	4	0	112.1709451	-7.1011682	Jl. Raya Babat Lamongan	23	yes	Babat	5
793480480	107.6213082	-6.9470162	jalan pasir luyu selatan	24	yes	BANDUNG	7	yes	96	44	68	8	107.62037150475	-6.9447861771817	Jl. Pasirluyu Selatan	21	yes	Buah Batu	9
831765481	106.99049882073	-6.2569956947491	Jl. Raya Pekayon 	17	yes	Pekayon Jaya	12	yes	2194	1215	1568	81	106.99049882073	-6.2569956947491	Jl. Raya Pekayon	16	yes	Pekayon Jaya	12
539400798	107.3375791	-6.3227303	dikawasan kota mandiri galuh mas	32	no	Telukjambe	10	no	2194	1215	1568	81	107.29382701377	-6.3280301382314	Galuh Mas Raya	14	no	Telukjambe	10
583150923	109.3061662	-0.0342893	Jl. Dr. Wahidin Kota : Pontianak Kota	37	yes	 Jl. Dr. Wahidin Kota : Pontianak Kota	38	no	4899	2269	2414	2	109.3065524381	-0.034847199373557	Jl. Dr. Wahidin	15	yes	Sungai Jawi	11
866688874	98.6722227	3.5951956	Jl. Dwikora, Setia budi	23	yes	Dekat USU	9	yes	132	51	67	1	98.642184893115	3.5790196791174	Jl. Dwikora	11	yes	Setia Budi	10
612701305	112.80752077224	-7.3270712686666	Jl.medokan ayu tambak xi	24	yes	Rungkut	7	yes	11	5	21	8	112.80701651695	-7.3272202458276	Jl. Medokan Ayu Tambak	22	yes	Rungkut	7
581518710	106.8552228	-6.2824104	Condet Raya	11	no	Condet 	7	no	422	140	191	12	106.8552228	-6.2824104	Jl. Condet Raya	15	yes	Condet 	7
163171483	106.79510872811	-6.303591963863	Jalan Rs Fatmawati No 1 Jakarta Selatan	39	no	Cilandak	8	yes	14	3	12	1	106.79511690609	-6.3034237755015	Jl. RS Fatmawati	16	yes	Cilandak	8
957394242	106.85075624341	-6.1426252191892	Jl. Benyamin Suaeb	18	yes	Kemayoran	9	yes	292	143	219	47	106.85075624341	-6.1426252191892	Jl. Benyamin Suaeb	18	yes	Kemayoran	9
154825881	106.9755726	-6.2382699	bulevar hijau	13	no	Harapan Indah	13	yes	429	238	347	71	106.9830398699	-6.1889085440243	Jl. Bulevar Hijau Raya	22	yes	Harapan Indah	13
198226656	106.814661	-6.256874	kemang	6	no	Cilandak	8	yes	1203	702	936	117	106.81737019281	-6.264829708388	Jl. Kemang Raya	15	yes	Kemang	6
540872181	106.8384873	-6.2704829	Pejaten	7	no	Pasar Minggu	12	no	160	58	64	0	106.83913103016	-6.2690325056854	Pejaten	7	no	Pasar Minggu	12
776662279	106.9755726	-6.2382699	tol bekasi	10	no	Sepanjang Jaya	14	yes	2194	1215	1568	81	106.99720467194	-6.2605792560075	Jl. Cut Meutia	14	yes	Sepanjang Jaya	14
270379295	106.5231695	-6.2290397	Citra Raya	10	no	Cikupa	6	yes	88	61	64	0	106.52189853967	-6.2345200706558	Jl. Citra Raya Boulevard	24	yes	Cikupa	6
807951735	106.85263287305	-6.2567855709831	Jl. Taman Makam Pahlawan	24	yes	Kalibata 	9	yes	1644	608	1173	311	106.85263287305	-6.2567855709831	Jl. Taman Makam Pahlawan	24	yes	Kalibata 	9
526385881	106.795961	-6.4196306	Cipayung Depok (Dekat Jembatan Serong Cipayung)	47	no	Jembatan Serong, Cipayung	25	no	1929	1165	1275	4	106.79566059259	-6.4229996426701	Jl. Raya Cipayung	17	yes	Jembatan Serong, Cipayung	25
768422598	106.9755726	-6.2382699	tambun selatan	14	no	Tambun	6	yes	2194	1215	1568	81	107.07718298763	-6.2417490922179	Jl. Rawa Pisang	15	yes	Tambun	6
749677384	106.76086701255	-6.5949216390042	Jl. Raya Taman Pagelaran	24	yes	Ciomas	6	no	1	0	1	0	106.75885719041	-6.590302917178	Jl. Raya Taman Pagelaran	24	yes	Ciomas	6
199391498	112.6941276	-7.2824522	darmo permai	12	no	dukuh pakis	11	no	88	42	73	18	112.69310164267	-7.2823013131657	Jl. Darmo Permai	16	yes	Dukuh Pakis	11
274015149	112.78489	-7.31323	Nirwana Regency	15	no	Wonorejo	8	yes	1563	461	971	280	112.78493377732	-7.3132540033105	Jl. Kendal Sari	15	yes	Rungkut	7
675525791	106.8552228	-6.2824104	CONDET	6	no	Kramatjati	10	no	529	222	246	1	106.85694709484	-6.2809000536084	Jl. Condet Raya	15	yes	Kramatjati	10
625481029	112.7897979	-7.2777343	Kertajaya Indah Timur	21	no	Sukolilo	8	no	1563	461	971	280	112.78296302118	-7.2812842168674	Jl. Kertajaya Indah Timur	25	yes	Sukolilo	8
576779119	112.7520883	-7.2574719	Pandegiling	11	no	Tegalsari	9	no	162	85	132	15	112.73365924761	-7.2751888433754	Jl. Pandegiling	15	yes	Tegalsari	9
954119208	106.6527099	-6.2023936	SUTERA PELANGI	14	no	Alam Sutera	11	yes	180	130	191	43	106.65212454708	-6.2337569596393	Jl. Alam Utama	14	yes	Alam Sutera	11
499180322	106.668174	-6.2651296	Jalan pesantren	15	no	Bintaro Jaya	12	yes	39	11	29	2	106.73213770887	-6.258499890244	Jl. Pesantren	13	yes	Bintaro Jaya	12
753733576	106.7299438	-6.4223939	Jalan Haji Mawi, Waru, Parung Kab. Bogor (nempel Pasar Parung)	62	no	Waru, Parung	12	no	2137	1504	1675	2	106.7280984402	-6.4242276755298	Jalan Haji Mawi	15	no	Waru, Parung	12
617925013	106.9791041	-6.1920069	jl.harapan indah	16	yes	Harapan Indah	13	yes	3176	2753	2997	43	106.9830398699	-6.1889085440243	Jl. Bulevar Hijau Raya	22	yes	Harapan Indah	13
930862092	106.8652756	-6.3778205	Jl.raya bogor	13	yes	Cimanggis 	10	yes	702	360	550	18	106.85825323171	-6.3668390657936	Jl. Raya Bogor	14	yes	Cimanggis 	10
894717043	107.0294408	-6.2312561	jln karang satria	17	yes	Karang Satria	13	yes	46	25	27	0	107.0473895678	-6.2226483629585	Jl. Karang Satria Raya	22	yes	Karang Satria	13
816666199	106.8079974	-6.2556955	tb simatupang	13	no	Pondok Labu	11	yes	33	6	30	20	106.79776935715	-6.2952122588075	TB Simatupang	13	no	Pondok Labu	11
524349987	106.9791041	-6.1920069	jl.harapan indah	16	yes	Harapan Indah	13	yes	3176	2753	2997	43	106.97838021849	-6.1890705066335	Jl. Harapan Indah Raya	22	yes	Harapan Indah	13
545619757	112.7520883	-7.2574719	Jl. Sidosermo PDK	17	yes	Wonocolo	8	no	178	21	112	63	112.75137312698	-7.3121175663368	Jl. Sidosermo PDK	17	yes	Wonocolo	8
467105882	98.6909114	3.576657	Jl. Laksana	11	yes	Kota Matsum IV	14	no	285	193	300	60	98.691168892065	3.5766141682441	Jl. Laksana	11	yes	Kota Matsum IV	14
916183044	98.6164533	3.5023278	Milala Tengah	13	no	Dekat RS Adam malik	19	yes	9	17	21	0	98.6164533	3.5023278	Jl. Perumahan Milala Rumah Tengah	33	yes	Jamin Ginting	13
833789780	112.78677008962	-7.2879789193354	Jl. Raya Kertajaya Indah	24	yes	Kertajaya	9	yes	162	85	132	15	112.78677008962	-7.2879789193354	Jl. Raya Kertajaya Indah	24	yes	Kertajaya	9
910216163	107.5413039	-6.8840816	jalan kolonel masturi	21	yes	Cipageran	9	no	398	155	315	49	107.55006006937	-6.8467228545889	Jl. Kolonel Masturi	19	yes	Cipageran	9
728002954	107.1925811	-6.2116892	Jl Pule Karang Anyar	20	yes	Karang Anyar	12	yes	136	7	13	0	107.1925811	-6.2116892	Jl. Pule	8	yes	Karang Anyar	12
841199955	115.163269	-8.659576	Br Semer	8	no	Kerobokan	9	no	1	0	1	0	115.16199908029	-8.6554535321018	Jl. Raya Br. Semer	18	yes	Kerobokan	9
298531002	112.69086305048	-7.4628693105304	Jl. Raya Sepande Candi	22	yes	Candi	5	yes	1076	530	687	58	112.69086305048	-7.4628693105304	Jl. Raya Sepande Candi	22	yes	Candi	5
213725918	112.68694748148	-7.4464594244158	Jl. Raya Cemeng Kalang	22	yes	Cemeng Kalang	13	yes	105	14	65	40	112.68694748148	-7.4464594244158	Jl. Raya Cemeng Kalang	22	yes	Cemeng Kalang	13
839025894	111.40375167131	-6.9998202773078	jl. angrek no. 26	17	yes	Karangboyo, Cepu	16	yes	1	0	1	0	111.5891236	-7.1320026	Jalan Anggrek	13	no	Karangboyo, Cepu	16
139539270	110.3130087	-7.8450254	Bangunjiwo	10	no	Kasihan	7	no	924	521	651	2	110.32614416206	-7.8372449955756	Bangunjiwo	10	no	Kasihan	7
495621590	106.85015	-6.5737573	Jl lavender	11	yes	Sentul City	11	yes	21	2	5	0	106.85138622219	-6.5733470330262	Jl. Lavender	12	yes	Sentul City	11
738351240	106.7500025	-6.5245504	kp bojong	9	no	Rancamaya 	10	no	3	0	2	0	106.84151283177	-6.662041335667	Kp. Bojong	10	no	Rancamaya 	10
381697992	112.7717447	-7.2663417	Dharmahusada Utara	18	no	GUBENG	6	no	1726	798	1143	139	112.77170178466	-7.2656605684842	Jl. Dharmahusada Utara	22	yes	Gubeng	6
482443190	107.6191228	-6.9174639	jalan sodong	12	yes	bandung barat	13	yes	162	47	78	1	107.47639391426	-6.8561310481205	Jl. Sodong	10	yes	Padalarang	10
238355528	106.8030892	-6.374008	Tanah Baru	10	no	Depok	5	no	92	23	46	0	106.82083041534	-6.3644968780011	Kukusan	7	no	Beji	4
359986677	106.8473377	-6.3853366	Sukma jaya depok	16	no	Sukma jaya	10	no	159	54	70	3	106.84209072275	-6.4019125175557	Depok 2 Tengah	14	no	Sukmajaya	9
431555357	112.741113	-7.2667627	Jl. Basuki Rachmat	18	yes	Embong sawo	11	yes	17	3	14	8	112.74246483334	-7.2677098959105	Jl. Basuki Rachmat	18	yes	Embong Sawo	11
595842710	106.9494459	-6.2444217	jl.at-taqwa	11	yes	Bekasi Selatan	14	yes	800	712	759	2	106.96428617299	-6.3117894448994	Jl. Ataqwa	10	yes	Bojong Kulur	12
323671696	107.14162028186	-6.3121630665064	Jl. Raya Industri	17	yes	Cikarang	8	yes	200	85	121	21	107.14162028186	-6.3121630665064	Jl. Raya Industri	17	yes	Cikarang	8
829657688	112.60909431508	-7.9369181423786	Jl. MT. Haryono	15	yes	Dinoyo	6	yes	151	25	91	44	112.60909431508	-7.9369181423786	Jl. MT. Haryono	15	yes	Dinoyo	6
690868311	106.822745	-6.1744651	Jln raya kalisari lapan gang damai cijantung pasar rebo jakarta timur	69	yes	Cipayung kalisari cijantung condet cawang cililitan	51	yes	121	65	80	1	106.85966765026	-6.3383416298405	Jl. Kalisari Raya	17	yes	Cijantung, Pasar Rebo	21
358266857	106.89098736603	-6.1507995028964	Jl. Boulevard Barat Raya	24	yes	Kelapa Gading	13	yes	1238	20	937	868	106.89098736603	-6.1507995028964	Jl. Boulevard Barat Raya	24	yes	Kelapa Gading	13
163548599	110.3721379	-7.7188981	Jalan Gito Gati	15	no	Ngaglik	7	no	161	79	98	2	110.38038947019	-7.7201444104367	Jl. Gito Gati	13	yes	Ngaglik	7
915237283	106.7553429	-6.409398	Jl. Pengasinan Gang Kemboja	27	yes	Sawangan	8	no	201	124	163	4	106.75626838399	-6.4107785141765	Jl. Pengasinan Raya	19	yes	Sawangan	8
593284652	106.6527099	-6.2023936	serdang	7	no	Panongan	8	yes	56	22	25	0	106.53371993586	-6.280730850398	Jl. Raya Serdang	16	yes	Panongan	8
302936623	106.6365088	-6.3020486	bsd	3	no	Tangerang	9	yes	17	11	15	2	106.67050530633	-6.3128229344395	Jl. Pelayangan	14	yes	BSD City	8
483396287	110.4291879	-7.8108907	Sendangtirto	12	no	Berbah	6	no	948	550	698	1	110.42820084708	-7.8096151827489	Sendangtirto	12	no	Berbah	6
705132965	112.69057698413	-7.26918661503	Jl. Raya Darmo Harapan 1	24	yes	Tanjungsari	11	yes	60	15	49	23	112.69057698413	-7.26918661503	Jl. Raya Darmo Harapan 1	24	yes	Tanjungsari	11
276487858	112.7650529393	-7.3683511288084	Jl. Raya Bandara	16	yes	Sedati	6	yes	88	42	73	18	112.7650529393	-7.3683511288084	Jl. Raya Bandara	16	yes	Sedati	6
295168552	106.799078	-6.2655722	Jl. H. Abdul Majid II No. 2, Cipete Utara, Kebayoran Baru, Jakarta Selatan	74	yes	Cipete Utara	12	no	1	0	1	0	106.79874004166	-6.2656575179902	Jl. H. Abdul Majid II	21	yes	Cipete Utara, Kebayoran Baru	28
401301350	110.4131913	-7.7348642	Bakungan	8	no	Wedomartani, Ngemplak	21	no	357	219	266	1	110.41362045344	-7.7345877881999	Jl. Raya Bakungan	17	yes	Wedomartani, Ngemplak	21
817109554	104.066359	1.1267334	Berverly Green, Batam Centre, Batam	35	no	Belian	6	yes	136	45	110	39	104.06423546312	1.1244033607807	Jl. Beverly Boulevard	21	yes	Belian	6
253987350	106.7903467	-6.4404718	Tugu Macan	10	no	Ragajaya, Citayam	17	yes	1809	832	1128	6	106.78913938856	-6.4497742446122	Jl. Tugu Macan	14	yes	Ragajaya, Citayam	17
795889646	104.7754307	-2.9760735	Talang Betutu Palembang	23	no	Sukarami	8	yes	651	351	379	0	104.67935293115	-2.8940862197873	Jl. Talang Betutu Lama	22	yes	Sukarami	8
686545894	103.9994808	1.1333498	Palm Beach , Lubuk Baja, Batam	30	no	Lubuk Baja	10	yes	136	45	110	39	103.99964459895	1.1326693937243	Tanjung Uma	11	no	Lubuk Baja	10
809660618	107.5322575	-6.8452527	Jl. Cikawati Tengah	19	yes	Ngamprah	8	no	153	61	111	30	107.5322575	-6.8452527	Jl. Cikawati Tengah	19	yes	Ngamprah	8
